code;product_name_pl;product_name_en;generic_name_en;generic_name_pl;quantity;serving_size;brands;categories;categories_tags;countries;countries_tags;origins_tags;energy-kcal_value;energy-kcal_unit;fat_value;fat_unit;saturated-fat_value;saturated-fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit
4014400901191;Merci Finest Selection;Merci Finest Selection;;Nadziewane i nienadziewane specjały czekoladowe;250g;12g;Storck;Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons, Chocolates, Filled chocolates, Assorted chocolates;en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:chocolates,en:filled-chocolates,en:assorted-chocolates;Austria, Belgium, Bulgaria, France, Germany, Hungary, Netherlands, North Macedonia, Poland, Romania, Sweden, Switzerland;en:austria,en:belgium,en:bulgaria,en:france,en:germany,en:hungary,en:netherlands,en:north-macedonia,en:poland,en:romania,en:sweden,en:switzerland;;563;kcal;36.1;g;19.9;g;49.9;g;48;g;;;7.8;g;0.17;g
5900531003646;Piątuś bananowy jogurt kremowy;;;;125g;125g;Piątnica;Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Desery, Desery mleczne, Fermentowane desery mleczne, en:Fermented dairy desserts with fruits, Jogurty, Jogurty owocowe, en:Banana yogurts;en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts,en:banana-yogurts;Polska;en:poland;;85;kcal;2.3;g;1.6;g;9.5;g;9.5;g;0.7;g;7;g;0.07;g
5908267100356;Kasza manna;;;;400 g;;Janex;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Zboża i produkty zbożowe, Kasza;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:groats;Polska;en:poland;;353;kcal;1.3;g;0.18;g;76.7;g;0.1;g;2.5;g;8.7;g;0.01;g
5900500020346;Multiwitamina, napój wieloowocowo-marchwiowy;;;;2 l;250 ml;Costa,Hortex;Żywność i napoje na bazie roślin, Napoje, Napoje na bazie roślin, Napoje owocowe, Soki i nektary, Soki owocowe;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices;Polska;en:poland;;15;kcal;0;g;0;g;3.3;g;3.3;g;;;0;g;0.019;g
20202859;Musli z owocami orzechami i ziarnami;Premium Muesli;;;750 g;100g;Crownfield;Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Cereales con frutas, Muesli, Mueslis con frutas;en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:cereals-with-fruits,en:mueslis,en:mueslis-with-fruits;Bélgica, Francia, Alemania, Polonia, España;en:belgium,en:france,en:germany,en:poland,en:spain;;377;kcal;9.7;g;5.1;g;60.5;g;24.8;g;8.2;g;7.9;g;0.07;g
20468583;Ciecierzyca Gotowana;Cooked chickpeas;Chickpeas;Ciecierzyca;200g;100g;Freshona,Lidl,Cistér;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Hülsenfrüchte und Hülsenfruchtprodukte, Konserven, Hülsenfrüchte, Samen, Konserven-Produkte auf pflanzlicher Basis, Hülsenfruchtsamen, Getrockenete Hülsenfrüchte, Kichererbsen, Hülsenfrüchte in Dosen, Kichererbsen in Dosen;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:canned-foods,en:legumes,en:seeds,en:canned-plant-based-foods,en:legume-seeds,en:pulses,en:chickpeas,en:canned-legumes,en:canned-chickpeas;Tschechien, Frankreich, Deutschland, Polen, Spanien, Schweiz;en:czech-republic,en:france,en:germany,en:poland,en:spain,en:switzerland;;112;kcal;2.4;g;0.4;g;12;g;0.9;g;7.6;g;6.7;g;0.6;g
50173822;Orbit Spearmint;orbit spearmint;;;14 g;1,4 g;Orbit;Przekąski, Słodkie przekąski, en:Confectioneries, Guma do żucia, Bezcukrowa guma do żucia;en:snacks,en:sweet-snacks,en:confectioneries,en:chewing-gum,en:sugar-free-chewing-gum;Węgry, Polska;en:hungary,en:poland;;149;kcal;0;g;0;g;62;g;0;g;0;g;0;g;0;g
5905162000033;Cucumbers in brine;;;;400g;100g;Kuchnia Polska;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty na bazie warzyw i owoców, Konserwy, Produkty na bazie warzyw, Konserwy roślinne w puszkach i słoikach, en:Pickles, Warzywa w puszcze, en:Plant-based pickles, en:Pickled vegetables, en:Pickled cucumbers, en:Gherkins, en:Pickled gherkins;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:vegetables-based-foods,en:canned-plant-based-foods,en:pickles,en:canned-vegetables,en:plant-based-pickles,en:pickled-vegetables,en:pickled-cucumbers,en:gherkins,en:pickled-gherkins;Niemcy, Polska;en:germany,en:poland;;7;kcal;0;g;0;g;0.6;g;0;g;1.2;g;0;g;2.3;g
5901044021042;Sos paprykowy średnio ostry;;;;320 g;100g;Roleski;Przyprawy, Sosy;en:condiments,en:sauces;Polska;en:poland;en:poland;85;kcal;0.5;g;0.1;g;17;g;13;g;;;2.1;g;1.1;g
20005733;Orzechy włoskie, łuskane;Walnusskerne;Unshelled Walnuts;;200g;30 g;ALESTO, Lidl;Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Shelled nuts, Walnuts, Walnut kernels;en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:shelled-nuts,en:walnuts,en:walnut-kernels;Austria, Belgium, Bulgaria, Denmark, France, Germany, Italy, Netherlands, Poland, Portugal, Spain;en:austria,en:belgium,en:bulgaria,en:denmark,en:france,en:germany,en:italy,en:netherlands,en:poland,en:portugal,en:spain;;712;kcal;69.1;g;6.8;g;3.7;g;3;g;6.8;g;15.5;g;0.02;g
